t,theta,d(theta)/dt
0,0,0
0.01,0.000400195,0.0800779
0.02,0.00160312,0.160624
0.03,0.0036158,0.242108
0.04,0.00644999,0.325006
0.05,0.0101222,0.409798
0.06,0.0146539,0.496972
0.07,0.0200712,0.587013
0.08,0.0264053,0.680403
0.09,0.033692,0.777602
0.1,0.0419714,0.879025
0.11,0.0512877,0.985014
0.12,0.0616877,1.09579
0.13,0.0732195,1.21137
0.14,0.0859305,1.33155
0.15,0.0998638,1.45571
0.16,0.115055,1.58285
0.17,0.131526,1.71142
0.18,0.149281,1.83935
0.19,0.168302,1.96415
0.2,0.188544,2.08303
0.21,0.209934,2.19319
0.22,0.232371,2.29218
0.23,0.255734,2.37816
0.24,0.279887,2.45014
0.25,0.304689,2.50797
0.26,0.330002,2.55228
0.27,0.355694,2.58426
0.28,0.381651,2.60544
0.29,0.407772,2.6175
0.3,0.433976,2.62209
0.31,0.460194,2.62071
0.32,0.486375,2.61471
0.33,0.512477,2.60522
0.34,0.538471,2.59319
0.35,0.564335,2.57937
0.36,0.590054,2.56438
0.37,0.61562,2.5487
0.38,0.641027,2.53271
0.39,0.666274,2.51671
0.4,0.691362,2.50091
0.41,0.716294,2.48548
0.42,0.741073,2.47056
0.43,0.765707,2.45623
0.44,0.7902,2.44257
0.45,0.814561,2.42963
0.46,0.838795,2.41743
0.47,0.862912,2.406
0.48,0.886918,2.39536
0.49,0.910822,2.38551
0.5,0.934631,2.37645
0.51,0.958353,2.36818
0.52,0.981997,2.36069
0.53,1.00557,2.35399
0.54,1.02908,2.34807
0.55,1.05253,2.34291
0.56,1.07594,2.33852
0.57,1.09931,2.33488
0.58,1.12264,2.332
0.59,1.14595,2.32987
0.6,1.16924,2.32848
0.61,1.19252,2.32784
0.62,1.2158,2.32795
0.63,1.23908,2.3288
0.64,1.26238,2.33041
0.65,1.28569,2.33276
0.66,1.30904,2.33589
0.67,1.33241,2.33978
0.68,1.35583,2.34445
0.69,1.37931,2.34992
0.7,1.40284,2.3562
0.71,1.42643,2.3633
0.72,1.4501,2.37126
0.73,1.47386,2.38009
0.74,1.49771,2.38982
0.75,1.52166,2.40048
0.76,1.54572,2.4121
0.77,1.5699,2.42472
0.78,1.59422,2.43839
0.79,1.61868,2.45315
0.8,1.64329,2.46905
0.81,1.66806,2.48615
0.82,1.69301,2.50452
0.83,1.71816,2.52424
0.84,1.7435,2.54537
0.85,1.76907,2.56801
0.86,1.79487,2.59227
0.87,1.82092,2.61826
0.88,1.84724,2.6461
0.89,1.87385,2.67594
0.9,1.90077,2.70795
0.91,1.92802,2.7423
0.92,1.95562,2.77921
0.93,1.98361,2.81892
0.94,2.01201,2.86171
0.95,2.04085,2.90789
0.96,2.07018,2.95783
0.97,2.10002,3.01196
0.98,2.13043,3.07079
0.99,2.16146,3.13491
